driver_app_event_id,vehicle_id,client_id,event_datetime,app_event_type,device_platform,completion_status,session_duration_seconds
APP-0000001,VEH-00040,CLI-0008,2025-03-31T08:00:00,Fuel PIN Reset,Android,Completed,544
APP-0000002,VEH-00121,CLI-0011,2026-04-23T09:00:00,Odometer Update,iOS,Completed,226
APP-0000003,VEH-00136,CLI-0010,2025-07-28T17:00:00,Damage Report,iOS,Completed,345
APP-0000004,VEH-00121,CLI-0011,2026-03-21T01:00:00,EV Charge Receipt,iOS,Failed,40
APP-0000005,VEH-00063,CLI-0016,2025-07-29T06:00:00,Odometer Update,Mobile Web,Abandoned,294
APP-0000006,VEH-00040,CLI-0008,2026-04-15T06:00:00,Registration Reminder,Mobile Web,Failed,82
APP-0000007,VEH-00045,CLI-0013,2025-01-24T22:00:00,Fuel PIN Reset,Mobile Web,Completed,573
APP-0000008,VEH-00137,CLI-0010,2025-04-25T00:00:00,Registration Reminder,Android,Completed,237
APP-0000009,VEH-00069,CLI-0004,2025-12-09T18:00:00,Odometer Update,Mobile Web,Failed,673
APP-0000010,VEH-00017,CLI-0017,2026-02-26T19:00:00,Damage Report,Mobile Web,Failed,609
APP-0000011,VEH-00125,CLI-0011,2025-03-11T08:00:00,Fuel PIN Reset,iOS,Abandoned,132
APP-0000012,VEH-00054,CLI-0015,2025-07-05T12:00:00,Registration Reminder,Android,Completed,325
APP-0000013,VEH-00082,CLI-0005,2026-04-14T01:00:00,Damage Report,iOS,Abandoned,406
APP-0000014,VEH-00126,CLI-0017,2025-06-03T16:00:00,Odometer Update,Mobile Web,Abandoned,530
APP-0000015,VEH-00058,CLI-0018,2025-10-21T08:00:00,EV Charge Receipt,iOS,Abandoned,618
APP-0000016,VEH-00141,CLI-0011,2025-01-24T04:00:00,EV Charge Receipt,Android,Completed,192
APP-0000017,VEH-00065,CLI-0002,2025-05-19T04:00:00,EV Charge Receipt,iOS,Completed,112
APP-0000018,VEH-00091,CLI-0015,2026-04-12T16:00:00,Registration Reminder,iOS,Abandoned,553
APP-0000019,VEH-00072,CLI-0014,2025-11-09T00:00:00,Damage Report,iOS,Abandoned,177
APP-0000020,VEH-00011,CLI-0016,2025-04-27T03:00:00,Registration Reminder,Mobile Web,Failed,700
APP-0000021,VEH-00118,CLI-0005,2025-08-30T09:00:00,Registration Reminder,Android,Failed,391
APP-0000022,VEH-00094,CLI-0013,2026-05-05T03:00:00,EV Charge Receipt,Android,Completed,545
APP-0000023,VEH-00109,CLI-0012,2026-01-13T08:00:00,EV Charge Receipt,Mobile Web,Completed,226
APP-0000024,VEH-00001,CLI-0009,2025-09-14T16:00:00,EV Charge Receipt,iOS,Abandoned,676
APP-0000025,VEH-00134,CLI-0004,2026-03-24T12:00:00,EV Charge Receipt,Mobile Web,Abandoned,128
APP-0000026,VEH-00147,CLI-0011,2025-08-04T05:00:00,Service Booking,Mobile Web,Completed,192
APP-0000027,VEH-00110,CLI-0014,2025-01-16T23:00:00,EV Charge Receipt,Android,Failed,657
APP-0000028,VEH-00072,CLI-0014,2025-03-26T14:00:00,Damage Report,Android,Abandoned,548
APP-0000029,VEH-00054,CLI-0015,2025-02-20T14:00:00,Service Booking,Mobile Web,Completed,413
APP-0000030,VEH-00104,CLI-0017,2025-04-04T18:00:00,Service Booking,Mobile Web,Completed,400
APP-0000031,VEH-00024,CLI-0014,2026-02-20T16:00:00,Odometer Update,Android,Completed,321
APP-0000032,VEH-00038,CLI-0004,2026-03-30T12:00:00,Fuel PIN Reset,Android,Abandoned,444
APP-0000033,VEH-00141,CLI-0011,2025-10-31T00:00:00,Damage Report,iOS,Completed,156
APP-0000034,VEH-00118,CLI-0005,2026-01-07T04:00:00,Service Booking,Mobile Web,Failed,141
APP-0000035,VEH-00116,CLI-0014,2025-11-16T16:00:00,Registration Reminder,iOS,Completed,195
APP-0000036,VEH-00059,CLI-0007,2025-08-30T21:00:00,Registration Reminder,iOS,Completed,458
APP-0000037,VEH-00081,CLI-0005,2026-02-26T08:00:00,EV Charge Receipt,Mobile Web,Failed,76
APP-0000038,VEH-00142,CLI-0003,2025-05-24T14:00:00,Damage Report,Mobile Web,Abandoned,285
APP-0000039,VEH-00019,CLI-0009,2025-11-18T14:00:00,Damage Report,Android,Abandoned,341
APP-0000040,VEH-00052,CLI-0014,2025-10-31T16:00:00,Odometer Update,Mobile Web,Completed,483
APP-0000041,VEH-00054,CLI-0015,2025-08-25T16:00:00,Odometer Update,Android,Completed,348
APP-0000042,VEH-00127,CLI-0017,2025-11-05T01:00:00,Registration Reminder,Mobile Web,Abandoned,398
APP-0000043,VEH-00131,CLI-0003,2025-11-08T22:00:00,EV Charge Receipt,Android,Completed,434
APP-0000044,VEH-00141,CLI-0011,2025-04-18T16:00:00,Fuel PIN Reset,Mobile Web,Failed,440
APP-0000045,VEH-00053,CLI-0017,2025-09-26T00:00:00,Service Booking,iOS,Failed,428
APP-0000046,VEH-00021,CLI-0018,2025-03-19T07:00:00,Registration Reminder,Android,Completed,204
APP-0000047,VEH-00030,CLI-0011,2026-04-25T20:00:00,EV Charge Receipt,Mobile Web,Completed,667
APP-0000048,VEH-00086,CLI-0013,2026-01-13T02:00:00,Registration Reminder,Mobile Web,Completed,178
APP-0000049,VEH-00146,CLI-0013,2025-11-28T17:00:00,Registration Reminder,Mobile Web,Failed,691
APP-0000050,VEH-00026,CLI-0005,2025-09-19T04:00:00,Odometer Update,Mobile Web,Failed,27
APP-0000051,VEH-00103,CLI-0003,2025-07-18T22:00:00,Registration Reminder,iOS,Completed,68
APP-0000052,VEH-00117,CLI-0016,2025-10-28T04:00:00,Service Booking,Android,Completed,623
APP-0000053,VEH-00143,CLI-0004,2025-03-15T12:00:00,Registration Reminder,Mobile Web,Completed,249
APP-0000054,VEH-00071,CLI-0006,2026-04-09T22:00:00,Registration Reminder,Mobile Web,Failed,697
APP-0000055,VEH-00078,CLI-0003,2025-11-08T14:00:00,Odometer Update,iOS,Abandoned,65
APP-0000056,VEH-00108,CLI-0009,2025-09-09T10:00:00,Damage Report,Mobile Web,Failed,551
APP-0000057,VEH-00058,CLI-0018,2026-05-14T06:00:00,Fuel PIN Reset,Android,Failed,33
APP-0000058,VEH-00125,CLI-0011,2025-08-15T07:00:00,EV Charge Receipt,iOS,Completed,693
APP-0000059,VEH-00056,CLI-0014,2025-02-21T10:00:00,Fuel PIN Reset,Android,Completed,717
APP-0000060,VEH-00082,CLI-0005,2025-08-14T21:00:00,Odometer Update,Android,Completed,679
APP-0000061,VEH-00024,CLI-0014,2025-09-26T15:00:00,Registration Reminder,Mobile Web,Completed,548
APP-0000062,VEH-00071,CLI-0006,2025-12-30T08:00:00,Fuel PIN Reset,iOS,Abandoned,396
APP-0000063,VEH-00131,CLI-0003,2025-10-03T06:00:00,Odometer Update,iOS,Abandoned,85
APP-0000064,VEH-00079,CLI-0005,2026-03-31T15:00:00,Odometer Update,Mobile Web,Completed,176
APP-0000065,VEH-00059,CLI-0007,2026-05-16T20:00:00,Fuel PIN Reset,iOS,Completed,430
APP-0000066,VEH-00138,CLI-0016,2025-08-16T03:00:00,Fuel PIN Reset,Mobile Web,Failed,566
APP-0000067,VEH-00020,CLI-0018,2026-01-16T01:00:00,Registration Reminder,Mobile Web,Failed,481
APP-0000068,VEH-00115,CLI-0011,2025-10-03T01:00:00,Service Booking,iOS,Abandoned,662
APP-0000069,VEH-00069,CLI-0004,2025-07-02T13:00:00,Registration Reminder,Android,Abandoned,441
APP-0000070,VEH-00122,CLI-0013,2025-10-22T09:00:00,Odometer Update,iOS,Failed,457
APP-0000071,VEH-00077,CLI-0009,2026-02-21T00:00:00,Odometer Update,Android,Completed,157
APP-0000072,VEH-00082,CLI-0005,2025-09-03T06:00:00,Damage Report,Mobile Web,Completed,141
APP-0000073,VEH-00091,CLI-0015,2025-10-26T15:00:00,Fuel PIN Reset,Android,Completed,635
APP-0000074,VEH-00038,CLI-0004,2025-12-06T14:00:00,Service Booking,iOS,Failed,592
APP-0000075,VEH-00054,CLI-0015,2025-12-30T01:00:00,Service Booking,Mobile Web,Completed,359
APP-0000076,VEH-00144,CLI-0017,2025-07-08T22:00:00,EV Charge Receipt,Android,Completed,252
APP-0000077,VEH-00059,CLI-0007,2025-03-31T09:00:00,Odometer Update,Android,Abandoned,90
APP-0000078,VEH-00141,CLI-0011,2025-06-27T20:00:00,EV Charge Receipt,Android,Completed,617
APP-0000079,VEH-00111,CLI-0004,2026-02-13T12:00:00,Odometer Update,Android,Completed,327
APP-0000080,VEH-00075,CLI-0018,2026-02-11T12:00:00,Damage Report,Mobile Web,Abandoned,418
APP-0000081,VEH-00046,CLI-0013,2026-01-08T03:00:00,Fuel PIN Reset,Mobile Web,Abandoned,577
APP-0000082,VEH-00073,CLI-0013,2025-11-29T02:00:00,EV Charge Receipt,Android,Abandoned,644
APP-0000083,VEH-00030,CLI-0011,2025-08-06T02:00:00,Damage Report,iOS,Abandoned,33
APP-0000084,VEH-00042,CLI-0002,2026-04-05T05:00:00,Odometer Update,Mobile Web,Completed,434
APP-0000085,VEH-00145,CLI-0014,2025-10-10T02:00:00,EV Charge Receipt,Android,Completed,253
APP-0000086,VEH-00077,CLI-0009,2026-03-05T08:00:00,EV Charge Receipt,Android,Failed,79
APP-0000087,VEH-00066,CLI-0018,2026-02-23T17:00:00,Service Booking,Mobile Web,Failed,480
APP-0000088,VEH-00074,CLI-0018,2025-01-14T23:00:00,Service Booking,Mobile Web,Completed,568
APP-0000089,VEH-00104,CLI-0017,2025-05-28T21:00:00,EV Charge Receipt,iOS,Completed,49
APP-0000090,VEH-00039,CLI-0018,2025-08-06T20:00:00,Fuel PIN Reset,Mobile Web,Completed,608
APP-0000091,VEH-00150,CLI-0004,2025-07-16T22:00:00,Service Booking,iOS,Completed,445
APP-0000092,VEH-00097,CLI-0012,2025-08-20T14:00:00,Odometer Update,Mobile Web,Failed,445
APP-0000093,VEH-00106,CLI-0017,2025-08-11T02:00:00,Odometer Update,iOS,Abandoned,423
APP-0000094,VEH-00062,CLI-0010,2025-05-23T05:00:00,Odometer Update,iOS,Completed,156
APP-0000095,VEH-00057,CLI-0008,2025-05-18T19:00:00,Registration Reminder,Mobile Web,Completed,94
APP-0000096,VEH-00054,CLI-0015,2026-01-07T14:00:00,Damage Report,Mobile Web,Completed,451
APP-0000097,VEH-00125,CLI-0011,2025-07-03T19:00:00,EV Charge Receipt,iOS,Completed,505
APP-0000098,VEH-00116,CLI-0014,2025-11-11T02:00:00,Fuel PIN Reset,iOS,Abandoned,302
APP-0000099,VEH-00104,CLI-0017,2025-03-03T08:00:00,Fuel PIN Reset,iOS,Completed,236
APP-0000100,VEH-00063,CLI-0016,2026-02-02T11:00:00,Odometer Update,Android,Abandoned,424
APP-0000101,VEH-00093,CLI-0011,2025-08-11T09:00:00,Service Booking,Android,Completed,132
APP-0000102,VEH-00141,CLI-0011,2025-07-16T07:00:00,Damage Report,iOS,Failed,243
APP-0000103,VEH-00018,CLI-0008,2025-10-18T18:00:00,Fuel PIN Reset,Mobile Web,Failed,647
APP-0000104,VEH-00086,CLI-0013,2025-07-02T18:00:00,Service Booking,Mobile Web,Completed,517
APP-0000105,VEH-00113,CLI-0010,2025-07-12T08:00:00,Odometer Update,Android,Completed,46
APP-0000106,VEH-00056,CLI-0014,2026-04-20T17:00:00,Fuel PIN Reset,iOS,Completed,362
APP-0000107,VEH-00088,CLI-0009,2025-02-02T23:00:00,EV Charge Receipt,iOS,Abandoned,315
APP-0000108,VEH-00066,CLI-0018,2026-03-25T17:00:00,Damage Report,Android,Completed,204
APP-0000109,VEH-00137,CLI-0010,2026-04-12T17:00:00,Service Booking,Mobile Web,Completed,327
APP-0000110,VEH-00121,CLI-0011,2026-01-22T07:00:00,Service Booking,iOS,Abandoned,389
APP-0000111,VEH-00071,CLI-0006,2025-07-13T23:00:00,EV Charge Receipt,Mobile Web,Completed,402
APP-0000112,VEH-00124,CLI-0007,2025-05-30T18:00:00,Service Booking,iOS,Abandoned,115
APP-0000113,VEH-00030,CLI-0011,2025-05-14T22:00:00,Registration Reminder,Android,Failed,623
APP-0000114,VEH-00082,CLI-0005,2025-04-20T02:00:00,Service Booking,Mobile Web,Completed,316
APP-0000115,VEH-00004,CLI-0011,2025-10-26T10:00:00,Fuel PIN Reset,iOS,Failed,527
APP-0000116,VEH-00112,CLI-0018,2025-08-06T03:00:00,Registration Reminder,iOS,Completed,561
APP-0000117,VEH-00096,CLI-0005,2025-09-15T01:00:00,Odometer Update,iOS,Failed,269
APP-0000118,VEH-00022,CLI-0004,2025-06-09T06:00:00,Registration Reminder,iOS,Abandoned,114
APP-0000119,VEH-00017,CLI-0017,2025-05-09T07:00:00,Damage Report,Android,Failed,194
APP-0000120,VEH-00027,CLI-0004,2026-04-29T00:00:00,Damage Report,Mobile Web,Completed,581
APP-0000121,VEH-00117,CLI-0016,2025-02-19T01:00:00,Registration Reminder,Mobile Web,Failed,666
APP-0000122,VEH-00135,CLI-0006,2025-06-13T13:00:00,Fuel PIN Reset,iOS,Abandoned,485
APP-0000123,VEH-00014,CLI-0018,2025-07-28T20:00:00,Registration Reminder,Mobile Web,Completed,166
APP-0000124,VEH-00110,CLI-0014,2026-02-25T18:00:00,EV Charge Receipt,iOS,Completed,93
APP-0000125,VEH-00096,CLI-0005,2026-04-28T08:00:00,Service Booking,Mobile Web,Completed,32
APP-0000126,VEH-00104,CLI-0017,2025-01-18T01:00:00,Service Booking,iOS,Completed,209
APP-0000127,VEH-00129,CLI-0017,2025-08-10T10:00:00,EV Charge Receipt,Mobile Web,Abandoned,39
APP-0000128,VEH-00084,CLI-0004,2026-04-14T04:00:00,Service Booking,Android,Completed,118
APP-0000129,VEH-00075,CLI-0018,2026-02-08T04:00:00,Odometer Update,Android,Failed,511
APP-0000130,VEH-00010,CLI-0003,2025-02-22T10:00:00,Odometer Update,Android,Abandoned,622
APP-0000131,VEH-00145,CLI-0014,2025-03-14T00:00:00,Odometer Update,Android,Failed,275
APP-0000132,VEH-00053,CLI-0017,2026-03-11T23:00:00,Registration Reminder,iOS,Completed,158
APP-0000133,VEH-00035,CLI-0011,2025-05-23T01:00:00,Odometer Update,Android,Completed,621
APP-0000134,VEH-00034,CLI-0011,2025-04-05T21:00:00,Service Booking,iOS,Abandoned,406
APP-0000135,VEH-00036,CLI-0003,2025-12-02T00:00:00,Odometer Update,Mobile Web,Completed,97
APP-0000136,VEH-00030,CLI-0011,2026-01-24T06:00:00,Fuel PIN Reset,Mobile Web,Abandoned,234
APP-0000137,VEH-00058,CLI-0018,2025-10-22T03:00:00,Service Booking,iOS,Completed,392
APP-0000138,VEH-00047,CLI-0003,2025-09-22T12:00:00,Odometer Update,iOS,Completed,269
APP-0000139,VEH-00066,CLI-0018,2025-06-21T13:00:00,EV Charge Receipt,Android,Abandoned,149
APP-0000140,VEH-00056,CLI-0014,2025-06-05T05:00:00,Registration Reminder,Android,Abandoned,325
APP-0000141,VEH-00114,CLI-0001,2025-08-08T00:00:00,Service Booking,Android,Failed,459
APP-0000142,VEH-00050,CLI-0001,2025-05-18T05:00:00,EV Charge Receipt,iOS,Abandoned,273
APP-0000143,VEH-00112,CLI-0018,2026-01-20T14:00:00,EV Charge Receipt,Mobile Web,Failed,660
APP-0000144,VEH-00063,CLI-0016,2025-05-22T21:00:00,Registration Reminder,Mobile Web,Abandoned,201
APP-0000145,VEH-00121,CLI-0011,2026-03-02T07:00:00,Fuel PIN Reset,Android,Completed,362
APP-0000146,VEH-00046,CLI-0013,2025-07-16T12:00:00,Fuel PIN Reset,Android,Completed,293
APP-0000147,VEH-00125,CLI-0011,2026-01-27T12:00:00,Service Booking,Android,Completed,674
APP-0000148,VEH-00131,CLI-0003,2025-02-01T19:00:00,Damage Report,Android,Abandoned,127
APP-0000149,VEH-00069,CLI-0004,2025-08-31T11:00:00,Service Booking,iOS,Failed,615
APP-0000150,VEH-00095,CLI-0008,2025-03-23T09:00:00,Damage Report,Android,Failed,464
APP-0000151,VEH-00082,CLI-0005,2025-12-08T07:00:00,Fuel PIN Reset,iOS,Failed,150
APP-0000152,VEH-00148,CLI-0005,2025-10-10T10:00:00,EV Charge Receipt,iOS,Completed,316
APP-0000153,VEH-00052,CLI-0014,2026-03-26T22:00:00,Damage Report,Android,Completed,324
APP-0000154,VEH-00027,CLI-0004,2025-06-23T15:00:00,Odometer Update,iOS,Failed,680
APP-0000155,VEH-00108,CLI-0009,2026-05-02T06:00:00,EV Charge Receipt,Mobile Web,Completed,351
APP-0000156,VEH-00070,CLI-0014,2025-04-19T21:00:00,Fuel PIN Reset,Android,Abandoned,532
APP-0000157,VEH-00110,CLI-0014,2025-05-07T21:00:00,Registration Reminder,iOS,Failed,123
APP-0000158,VEH-00101,CLI-0005,2026-01-10T17:00:00,Service Booking,Android,Failed,624
APP-0000159,VEH-00061,CLI-0018,2025-11-12T19:00:00,Registration Reminder,Mobile Web,Completed,445
APP-0000160,VEH-00025,CLI-0005,2025-07-01T07:00:00,EV Charge Receipt,Mobile Web,Completed,123
APP-0000161,VEH-00101,CLI-0005,2026-04-05T16:00:00,EV Charge Receipt,iOS,Failed,110
APP-0000162,VEH-00008,CLI-0018,2025-05-06T00:00:00,Damage Report,iOS,Failed,153
APP-0000163,VEH-00098,CLI-0012,2025-01-31T15:00:00,EV Charge Receipt,iOS,Completed,117
APP-0000164,VEH-00071,CLI-0006,2025-10-02T19:00:00,Damage Report,Android,Completed,589
APP-0000165,VEH-00036,CLI-0003,2025-07-17T23:00:00,Fuel PIN Reset,Mobile Web,Completed,140
APP-0000166,VEH-00034,CLI-0011,2025-03-04T09:00:00,Damage Report,iOS,Abandoned,472
APP-0000167,VEH-00102,CLI-0008,2025-04-05T10:00:00,EV Charge Receipt,Android,Completed,612
APP-0000168,VEH-00043,CLI-0013,2025-07-18T22:00:00,Fuel PIN Reset,Android,Failed,230
APP-0000169,VEH-00049,CLI-0009,2025-11-03T03:00:00,Damage Report,iOS,Abandoned,31
APP-0000170,VEH-00056,CLI-0014,2025-07-22T18:00:00,Fuel PIN Reset,Mobile Web,Completed,703
APP-0000171,VEH-00029,CLI-0018,2025-04-03T20:00:00,Damage Report,Mobile Web,Failed,319
APP-0000172,VEH-00146,CLI-0013,2025-08-24T02:00:00,Registration Reminder,Android,Failed,708
