invoice_id,invoice_number,client_id,invoice_date,invoice_due_date,billing_period,billing_contact_email_domain,purchase_order_number,lease_charges_amount,maintenance_rebill_amount,fuel_rebill_amount,management_fees_amount,invoice_status,payment_terms_days,payment_method,effective_at,updated_at
INV-0000001,EFSA-202601-000001,CLI-0009,2026-01-18,2026-02-17,2026-01,professional-services-client-09.example.com,PO-SYN-000001,92543.23,12253.49,5104.42,1553.18,Paid,30,Direct Debit,2026-05-24T14:59:00,2026-05-25T08:01:00
INV-0000002,EFSA-202511-000002,CLI-0005,2025-11-13,2025-12-13,2025-11,healthcare-client-05.example.com,PO-SYN-000002,11301.53,2071.95,1755.46,532.25,Disputed,30,EFT,2026-05-24T14:58:00,2026-05-25T08:02:00
INV-0000003,EFSA-202501-000003,CLI-0013,2025-01-28,2025-02-27,2025-01,utilities-client-13.example.com,PO-SYN-000003,53542.42,3016.07,4536.18,859.17,Disputed,30,EFT,2026-05-24T14:57:00,2026-05-25T08:03:00
INV-0000004,EFSA-202512-000004,CLI-0015,2025-12-18,2026-01-17,2025-12,healthcare-client-15.example.com,PO-SYN-000004,22786.3,2474.13,3006.04,475.4,Issued,30,EFT,2026-05-24T14:56:00,2026-05-25T08:04:00
INV-0000005,EFSA-202504-000005,CLI-0011,2025-04-04,2025-05-04,2025-04,government-client-11.example.com,PO-SYN-000005,18874.04,2554.22,2007.61,768.94,Disputed,30,EFT,2026-05-24T14:55:00,2026-05-25T08:05:00
INV-0000006,EFSA-202602-000006,CLI-0014,2026-02-14,2026-03-16,2026-02,professional-services-client-14.example.com,PO-SYN-000006,33079.83,6310.76,754.61,832.29,Issued,30,EFT,2026-05-24T14:54:00,2026-05-25T08:06:00
INV-0000007,EFSA-202506-000007,CLI-0006,2025-06-16,2025-07-16,2025-06,utilities-client-06.example.com,PO-SYN-000007,63105.41,10128.04,3254.26,2453.55,Issued,30,EFT,2026-05-24T14:53:00,2026-05-25T08:07:00
INV-0000008,EFSA-202604-000008,CLI-0018,2026-04-27,2026-05-27,2026-04,professional-services-client-18.example.com,PO-SYN-000008,31341.65,3246.21,2919.4,1323.57,Disputed,30,EFT,2026-05-24T14:52:00,2026-05-25T08:08:00
INV-0000009,EFSA-202505-000009,CLI-0013,2025-05-29,2025-06-28,2025-05,utilities-client-13.example.com,PO-SYN-000009,25736.45,615.41,1712.66,1371.02,Issued,30,BPAY,2026-05-25T14:59:00,2026-05-26T08:01:00
INV-0000010,EFSA-202604-000010,CLI-0006,2026-04-03,2026-05-03,2026-04,utilities-client-06.example.com,PO-SYN-000010,44108.06,8158.84,6894.28,1408.8,Paid,30,EFT,2026-05-25T14:58:00,2026-05-26T08:02:00
INV-0000011,EFSA-202503-000011,CLI-0003,2025-03-24,2025-04-23,2025-03,healthcare-client-03.example.com,PO-SYN-000011,8100.25,561.33,1321.82,270.76,Issued,30,BPAY,2026-05-25T14:57:00,2026-05-26T08:03:00
INV-0000012,EFSA-202509-000012,CLI-0007,2025-09-09,2025-10-09,2025-09,utilities-client-07.example.com,PO-SYN-000012,68128.52,12501.59,2282.77,3921.6,Issued,30,EFT,2026-05-25T14:56:00,2026-05-26T08:04:00
INV-0000013,EFSA-202501-000013,CLI-0005,2025-01-15,2025-02-14,2025-01,healthcare-client-05.example.com,PO-SYN-000013,77733.51,13257.43,2079.73,3860.38,Disputed,30,Direct Debit,2026-05-25T14:55:00,2026-05-26T08:05:00
INV-0000014,EFSA-202501-000014,CLI-0006,2025-01-20,2025-02-19,2025-01,utilities-client-06.example.com,PO-SYN-000014,84270.18,6156.97,8782.28,3398.53,Disputed,30,BPAY,2026-05-25T14:54:00,2026-05-26T08:06:00
INV-0000015,EFSA-202512-000015,CLI-0007,2025-12-21,2026-01-20,2025-12,utilities-client-07.example.com,PO-SYN-000015,71078.26,11442.93,5208.1,2538.68,Paid,30,EFT,2026-05-25T14:53:00,2026-05-26T08:07:00
INV-0000016,EFSA-202604-000016,CLI-0013,2026-04-19,2026-05-19,2026-04,utilities-client-13.example.com,PO-SYN-000016,8601.05,1613.31,1183.53,515.01,Paid,30,EFT,2026-05-25T14:52:00,2026-05-26T08:08:00
INV-0000017,EFSA-202605-000017,CLI-0009,2026-05-16,2026-06-15,2026-05,professional-services-client-09.example.com,PO-SYN-000017,30793.52,6297.55,3686.58,1562.27,Issued,30,Card,2026-05-26T14:59:00,2026-05-27T08:01:00
INV-0000018,EFSA-202502-000018,CLI-0015,2025-02-04,2025-03-06,2025-02,healthcare-client-15.example.com,PO-SYN-000018,34913.65,6785.99,6011.99,1871.38,Issued,30,Direct Debit,2026-05-26T14:58:00,2026-05-27T08:02:00
INV-0000019,EFSA-202511-000019,CLI-0005,2025-11-26,2025-12-26,2025-11,healthcare-client-05.example.com,PO-SYN-000019,56101.34,9865.09,7520.97,2207.25,Part Paid,30,Direct Debit,2026-05-26T14:57:00,2026-05-27T08:03:00
INV-0000020,EFSA-202504-000020,CLI-0010,2025-04-12,2025-05-12,2025-04,government-client-10.example.com,PO-SYN-000020,46973.12,7081.24,6338.4,922.67,Issued,30,EFT,2026-05-26T14:56:00,2026-05-27T08:04:00
INV-0000021,EFSA-202508-000021,CLI-0014,2025-08-29,2025-09-28,2025-08,professional-services-client-14.example.com,PO-SYN-000021,10603.6,1668.53,1007.1,428.76,Paid,30,EFT,2026-05-26T14:55:00,2026-05-27T08:05:00
INV-0000022,EFSA-202511-000022,CLI-0002,2025-11-21,2025-12-21,2025-11,utilities-client-02.example.com,PO-SYN-000022,16885.72,850.32,763.77,268.55,Disputed,30,BPAY,2026-05-26T14:54:00,2026-05-27T08:06:00
INV-0000023,EFSA-202501-000023,CLI-0005,2025-01-28,2025-02-27,2025-01,healthcare-client-05.example.com,PO-SYN-000023,13595.26,2369.32,1692.4,214.76,Disputed,30,BPAY,2026-05-26T14:53:00,2026-05-27T08:07:00
INV-0000024,EFSA-202604-000024,CLI-0005,2026-04-13,2026-05-13,2026-04,healthcare-client-05.example.com,PO-SYN-000024,19625.04,867.26,2603.93,634.37,Part Paid,30,BPAY,2026-05-26T14:52:00,2026-05-27T08:08:00
INV-0000025,EFSA-202604-000025,CLI-0007,2026-04-19,2026-05-19,2026-04,utilities-client-07.example.com,PO-SYN-000025,60313.61,10008.21,982.74,2327.76,Part Paid,30,BPAY,2026-04-19T00:00:00,2026-05-11T00:00:00
INV-0000026,EFSA-202510-000026,CLI-0007,2025-10-02,2025-11-01,2025-10,utilities-client-07.example.com,PO-SYN-000026,4233.63,236.1,510.6,183.14,Paid,30,Direct Debit,2025-10-02T00:00:00,2025-10-12T00:00:00
INV-0000027,EFSA-202504-000027,CLI-0010,2025-04-01,2025-05-01,2025-04,government-client-10.example.com,PO-SYN-000027,12242.2,941.3,1766.21,540.52,Disputed,30,EFT,2025-04-01T00:00:00,2025-04-23T00:00:00
INV-0000028,EFSA-202510-000028,CLI-0001,2025-10-23,2025-11-22,2025-10,professional-services-client-01.example.com,PO-SYN-000028,64172.96,13886.82,2279.54,1561.69,Issued,30,Direct Debit,2025-10-23T00:00:00,2025-11-05T00:00:00
INV-0000029,EFSA-202605-000029,CLI-0012,2026-05-11,2026-06-10,2026-05,government-client-12.example.com,PO-SYN-000029,35197.73,3382.47,5084.87,1778.3,Issued,30,EFT,2026-05-11T00:00:00,2026-06-03T00:00:00
INV-0000030,EFSA-202602-000030,CLI-0005,2026-02-03,2026-03-05,2026-02,healthcare-client-05.example.com,PO-SYN-000030,66899.57,7981.9,863.34,994.02,Part Paid,30,Direct Debit,2026-02-03T00:00:00,2026-02-13T00:00:00
INV-0000031,EFSA-202504-000031,CLI-0009,2025-04-08,2025-05-08,2025-04,professional-services-client-09.example.com,PO-SYN-000031,41995.32,3855.3,2751.9,1189.92,Paid,30,EFT,2025-04-08T00:00:00,2025-04-22T00:00:00
INV-0000032,EFSA-202505-000032,CLI-0001,2025-05-13,2025-06-12,2025-05,professional-services-client-01.example.com,PO-SYN-000032,89619.16,17710.58,12757.16,1011.11,Part Paid,30,Direct Debit,2025-05-13T00:00:00,2025-06-10T00:00:00
INV-0000033,EFSA-202507-000033,CLI-0004,2025-07-05,2025-08-04,2025-07,utilities-client-04.example.com,PO-SYN-000033,59511.11,6895.08,6235.56,1422.11,Issued,30,Direct Debit,2025-07-05T00:00:00,2025-08-03T00:00:00
INV-0000034,EFSA-202508-000034,CLI-0003,2025-08-09,2025-09-08,2025-08,healthcare-client-03.example.com,PO-SYN-000034,42210.3,5831.88,3380.96,696.44,Paid,30,Direct Debit,2025-08-09T00:00:00,2025-08-31T00:00:00
INV-0000035,EFSA-202505-000035,CLI-0011,2025-05-14,2025-06-13,2025-05,government-client-11.example.com,PO-SYN-000035,90668.13,4689.33,14448.86,3770.59,Issued,30,EFT,2025-05-14T00:00:00,2025-06-02T00:00:00
INV-0000036,EFSA-202505-000036,CLI-0002,2025-05-08,2025-06-07,2025-05,utilities-client-02.example.com,PO-SYN-000036,8395.6,196.22,602.31,463.9,Part Paid,30,BPAY,2025-05-08T00:00:00,2025-06-01T00:00:00
INV-0000037,EFSA-202604-000037,CLI-0014,2026-04-03,2026-05-03,2026-04,professional-services-client-14.example.com,PO-SYN-000037,75389.24,10899.87,5507.26,2978.34,Paid,30,Card,2026-04-03T00:00:00,2026-04-22T00:00:00
INV-0000038,EFSA-202603-000038,CLI-0014,2026-03-08,2026-04-07,2026-03,professional-services-client-14.example.com,PO-SYN-000038,18868.39,1306.06,1726.97,289.09,Paid,30,BPAY,2026-03-08T00:00:00,2026-04-05T00:00:00
INV-0000039,EFSA-202502-000039,CLI-0001,2025-02-26,2025-03-28,2025-02,professional-services-client-01.example.com,PO-SYN-000039,7059.37,225.05,212.82,347.18,Issued,30,Direct Debit,2025-02-26T00:00:00,2025-03-12T00:00:00
INV-0000040,EFSA-202602-000040,CLI-0001,2026-02-17,2026-03-19,2026-02,professional-services-client-01.example.com,PO-SYN-000040,86855.05,15504.15,9046.25,1304.46,Part Paid,30,Card,2026-02-17T00:00:00,2026-02-23T00:00:00
INV-0000041,EFSA-202503-000041,CLI-0016,2025-03-24,2025-04-23,2025-03,government-client-16.example.com,PO-SYN-000041,41990.09,1197.75,513.62,624.45,Paid,30,BPAY,2025-03-24T00:00:00,2025-03-31T00:00:00
INV-0000042,EFSA-202510-000042,CLI-0005,2025-10-31,2025-11-30,2025-10,healthcare-client-05.example.com,PO-SYN-000042,5804.35,951.67,1019.33,262.44,Part Paid,30,Direct Debit,2025-10-31T00:00:00,2025-11-13T00:00:00
INV-0000043,EFSA-202501-000043,CLI-0017,2025-01-22,2025-02-21,2025-01,construction-client-17.example.com,PO-SYN-000043,40589.99,1637.13,777.71,1852.16,Paid,30,Direct Debit,2025-01-22T00:00:00,2025-01-26T00:00:00
INV-0000044,EFSA-202507-000044,CLI-0010,2025-07-04,2025-08-03,2025-07,government-client-10.example.com,PO-SYN-000044,92237.17,19441.52,8637.61,1842.41,Part Paid,30,EFT,2025-07-04T00:00:00,2025-07-12T00:00:00
INV-0000045,EFSA-202501-000045,CLI-0007,2025-01-13,2025-02-12,2025-01,utilities-client-07.example.com,PO-SYN-000045,4603.52,492.67,319.11,243.85,Paid,30,BPAY,2025-01-13T00:00:00,2025-02-10T00:00:00
INV-0000046,EFSA-202511-000046,CLI-0014,2025-11-02,2025-12-02,2025-11,professional-services-client-14.example.com,PO-SYN-000046,26345.98,683.33,803.14,270.66,Issued,30,EFT,2025-11-02T00:00:00,2025-11-28T00:00:00
INV-0000047,EFSA-202602-000047,CLI-0006,2026-02-26,2026-03-28,2026-02,utilities-client-06.example.com,PO-SYN-000047,77507.68,16102.07,12923.22,4023.93,Part Paid,30,BPAY,2026-02-26T00:00:00,2026-03-08T00:00:00
INV-0000048,EFSA-202506-000048,CLI-0003,2025-06-30,2025-07-30,2025-06,healthcare-client-03.example.com,PO-SYN-000048,56833.54,7099.83,8594.24,2556.02,Part Paid,30,Direct Debit,2025-06-30T00:00:00,2025-07-03T00:00:00
INV-0000049,EFSA-202505-000049,CLI-0002,2025-05-17,2025-06-16,2025-05,utilities-client-02.example.com,PO-SYN-000049,40074.56,4212.35,2516.77,1062.64,Disputed,30,Direct Debit,2025-05-17T00:00:00,2025-05-22T00:00:00
INV-0000050,EFSA-202501-000050,CLI-0004,2025-01-26,2025-02-25,2025-01,utilities-client-04.example.com,PO-SYN-000050,44117.69,5167.54,3946.37,2457.2,Issued,30,Direct Debit,2025-01-26T00:00:00,2025-02-12T00:00:00
INV-0000051,EFSA-202510-000051,CLI-0008,2025-10-06,2025-11-05,2025-10,government-client-08.example.com,PO-SYN-000051,73681.09,9608.52,11014.81,2810.64,Paid,30,Direct Debit,2025-10-06T00:00:00,2025-10-27T00:00:00
INV-0000052,EFSA-202512-000052,CLI-0008,2025-12-08,2026-01-07,2025-12,government-client-08.example.com,PO-SYN-000052,94768.62,3142.13,13585.82,1148.11,Disputed,30,Direct Debit,2025-12-08T00:00:00,2025-12-28T00:00:00
INV-0000053,EFSA-202604-000053,CLI-0016,2026-04-21,2026-05-21,2026-04,government-client-16.example.com,PO-SYN-000053,86956.99,15362.27,8692.39,3012.3,Issued,30,Direct Debit,2026-04-21T00:00:00,2026-05-04T00:00:00
INV-0000054,EFSA-202510-000054,CLI-0015,2025-10-30,2025-11-29,2025-10,healthcare-client-15.example.com,PO-SYN-000054,43389.6,1911.55,3491.91,1742.06,Paid,30,Direct Debit,2025-10-30T00:00:00,2025-11-26T00:00:00
INV-0000055,EFSA-202605-000055,CLI-0013,2026-05-05,2026-06-04,2026-05,utilities-client-13.example.com,PO-SYN-000055,12161.06,769.27,714.24,151.47,Part Paid,30,Card,2026-05-05T00:00:00,2026-05-21T00:00:00
INV-0000056,EFSA-202603-000056,CLI-0008,2026-03-02,2026-04-01,2026-03,government-client-08.example.com,PO-SYN-000056,19025.98,1607.01,782.21,891.34,Disputed,30,Card,2026-03-02T00:00:00,2026-03-10T00:00:00
INV-0000057,EFSA-202602-000057,CLI-0015,2026-02-18,2026-03-20,2026-02,healthcare-client-15.example.com,PO-SYN-000057,4348.76,705.79,717.03,79.4,Part Paid,30,EFT,2026-02-18T00:00:00,2026-02-20T00:00:00
INV-0000058,EFSA-202508-000058,CLI-0007,2025-08-28,2025-09-27,2025-08,utilities-client-07.example.com,PO-SYN-000058,7690.23,862.45,1258.84,401.53,Issued,30,Direct Debit,2025-08-28T00:00:00,2025-09-24T00:00:00
INV-0000059,EFSA-202603-000059,CLI-0002,2026-03-07,2026-04-06,2026-03,utilities-client-02.example.com,PO-SYN-000059,17568.98,2689.31,257.61,881.3,Paid,30,Direct Debit,2026-03-07T00:00:00,2026-04-11T00:00:00
INV-0000060,EFSA-202505-000060,CLI-0003,2025-05-01,2025-05-31,2025-05,healthcare-client-03.example.com,PO-SYN-000060,36982.68,5930.67,4237.68,1318.35,Disputed,30,BPAY,2025-05-01T00:00:00,2025-05-11T00:00:00
INV-0000061,EFSA-202502-000061,CLI-0004,2025-02-12,2025-03-14,2025-02,utilities-client-04.example.com,PO-SYN-000061,92793.04,19718.88,12458.64,3421.75,Disputed,30,Card,2025-02-12T00:00:00,2025-03-17T00:00:00
INV-0000062,EFSA-202602-000062,CLI-0001,2026-02-22,2026-03-24,2026-02,professional-services-client-01.example.com,PO-SYN-000062,78472.07,2677.61,8076.74,2350.24,Paid,30,Card,2026-02-22T00:00:00,2026-03-29T00:00:00
INV-0000063,EFSA-202503-000063,CLI-0005,2025-03-24,2025-04-23,2025-03,healthcare-client-05.example.com,PO-SYN-000063,72720.61,8018.05,11608.4,2021.82,Disputed,30,EFT,2025-03-24T00:00:00,2025-04-22T00:00:00
INV-0000064,EFSA-202507-000064,CLI-0017,2025-07-11,2025-08-10,2025-07,construction-client-17.example.com,PO-SYN-000064,43265.44,965.11,1701.97,2188.95,Paid,30,Direct Debit,2025-07-11T00:00:00,2025-08-07T00:00:00
INV-0000065,EFSA-202506-000065,CLI-0016,2025-06-13,2025-07-13,2025-06,government-client-16.example.com,PO-SYN-000065,46541.32,1802.98,7132.03,2425.08,Part Paid,30,Direct Debit,2025-06-13T00:00:00,2025-07-03T00:00:00
INV-0000066,EFSA-202502-000066,CLI-0013,2025-02-16,2025-03-18,2025-02,utilities-client-13.example.com,PO-SYN-000066,73344.08,11265.41,12380.87,2607.01,Part Paid,30,Card,2025-02-16T00:00:00,2025-02-27T00:00:00
INV-0000067,EFSA-202510-000067,CLI-0014,2025-10-14,2025-11-13,2025-10,professional-services-client-14.example.com,PO-SYN-000067,86150.67,4315.06,11497.23,2550.51,Part Paid,30,Direct Debit,2025-10-14T00:00:00,2025-11-01T00:00:00
INV-0000068,EFSA-202510-000068,CLI-0002,2025-10-29,2025-11-28,2025-10,utilities-client-02.example.com,PO-SYN-000068,35626.99,5795.67,1922.82,1764.37,Disputed,30,BPAY,2025-10-29T00:00:00,2025-11-06T00:00:00
INV-0000069,EFSA-202508-000069,CLI-0012,2025-08-07,2025-09-06,2025-08,government-client-12.example.com,PO-SYN-000069,7049.95,1409.41,840.32,132.9,Paid,30,EFT,2025-08-07T00:00:00,2025-08-29T00:00:00
INV-0000070,EFSA-202507-000070,CLI-0013,2025-07-01,2025-07-31,2025-07,utilities-client-13.example.com,PO-SYN-000070,12844.82,2648.63,1397.2,680.13,Part Paid,30,EFT,2025-07-01T00:00:00,2025-07-20T00:00:00
INV-0000071,EFSA-202603-000071,CLI-0002,2026-03-30,2026-04-29,2026-03,utilities-client-02.example.com,PO-SYN-000071,58636.71,6117.36,6962.59,3034.7,Part Paid,30,BPAY,2026-03-30T00:00:00,2026-05-04T00:00:00
INV-0000072,EFSA-202601-000072,CLI-0008,2026-01-04,2026-02-03,2026-01,government-client-08.example.com,PO-SYN-000072,27364.49,3895.63,392.83,893.53,Paid,30,EFT,2026-01-04T00:00:00,2026-01-09T00:00:00
INV-0000073,EFSA-202501-000073,CLI-0015,2025-01-06,2025-02-05,2025-01,healthcare-client-15.example.com,PO-SYN-000073,17071.33,1495.51,1290.75,307.12,Paid,30,EFT,2025-01-06T00:00:00,2025-02-02T00:00:00
INV-0000074,EFSA-202510-000074,CLI-0009,2025-10-05,2025-11-04,2025-10,professional-services-client-09.example.com,PO-SYN-000074,53297.49,1069.61,9300.54,3091.67,Issued,30,Card,2025-10-05T00:00:00,2025-11-09T00:00:00
INV-0000075,EFSA-202509-000075,CLI-0013,2025-09-30,2025-10-30,2025-09,utilities-client-13.example.com,PO-SYN-000075,67095.28,4400.81,1139.61,2133.32,Paid,30,BPAY,2025-09-30T00:00:00,2025-10-31T00:00:00
INV-0000076,EFSA-202601-000076,CLI-0005,2026-01-21,2026-02-20,2026-01,healthcare-client-05.example.com,PO-SYN-000076,51503.26,7230.46,1111.72,571.83,Issued,30,Direct Debit,2026-01-21T00:00:00,2026-02-10T00:00:00
INV-0000077,EFSA-202504-000077,CLI-0003,2025-04-20,2025-05-20,2025-04,healthcare-client-03.example.com,PO-SYN-000077,94881.39,4040.93,15402.11,5665.47,Issued,30,Card,2025-04-20T00:00:00,2025-05-01T00:00:00
INV-0000078,EFSA-202601-000078,CLI-0007,2026-01-01,2026-01-31,2026-01,utilities-client-07.example.com,PO-SYN-000078,40478.91,2693.05,3674.22,1229.82,Issued,30,Card,2026-01-01T00:00:00,2026-01-13T00:00:00
INV-0000079,EFSA-202501-000079,CLI-0008,2025-01-23,2025-02-22,2025-01,government-client-08.example.com,PO-SYN-000079,87488.26,7370.32,8475.64,2627.31,Issued,30,EFT,2025-01-23T00:00:00,2025-02-16T00:00:00
